component_name,enabler_name,pdf_title,pdf_url,pdf_filename
"Aufbau und Organisation des Ausbildungsbetriebes (§ 4 Abs. 7 Nr. 2)","01_Der Betrieb","01_Der Betrieb","https://ngpsgwwlnlliphfgtrya.supabase.co/storage/v1/object/public/content/enablers/Aufbau_und_Organisation_des_Ausbildungsbetriebes_par_4_Abs._7_Nr._2/01_Der_Betrieb/01_Der_Betrieb.pdf","01_Der Betrieb.pdf"
"Aufbau und Organisation des Ausbildungsbetriebes (§ 4 Abs. 7 Nr. 2)","02_Rechtsformen","02_Rechtsformen","https://ngpsgwwlnlliphfgtrya.supabase.co/storage/v1/object/public/content/enablers/Aufbau_und_Organisation_des_Ausbildungsbetriebes_par_4_Abs._7_Nr._2/02_Rechtsformen/02_Rechtsformen.pdf","02_Rechtsformen.pdf"
"Aufbau und Organisation des Ausbildungsbetriebes (§ 4 Abs. 7 Nr. 2)","03_Unternehmensstruktur und Organisationsform","03_Unternehmensstruktur und Organisationsform","https://ngpsgwwlnlliphfgtrya.supabase.co/storage/v1/object/public/content/enablers/Aufbau_und_Organisation_des_Ausbildungsbetriebes_par_4_Abs._7_Nr._2/03_Unternehmensstruktur_und_Organisationsform/03_Unternehmensstruktur_und_Organisationsform.pdf","03_Unternehmensstruktur und Organisationsform.pdf"
"Aufbau und Organisation des Ausbildungsbetriebes (§ 4 Abs. 7 Nr. 2)","04_Wirtschaftliche Verflechtungen","04_Wirtschaftliche Verflechtungen","https://ngpsgwwlnlliphfgtrya.supabase.co/storage/v1/object/public/content/enablers/Aufbau_und_Organisation_des_Ausbildungsbetriebes_par_4_Abs._7_Nr._2/04_Wirtschaftliche_Verflechtungen/04_Wirtschaftliche_Verflechtungen.pdf","04_Wirtschaftliche Verflechtungen.pdf"
"Aufbau und Organisation des Ausbildungsbetriebes (§ 4 Abs. 7 Nr. 2)","05_Ziele von Betrieben und Unternehmen","05_Ziele von Betrieben und Unternehmen","https://ngpsgwwlnlliphfgtrya.supabase.co/storage/v1/object/public/content/enablers/Aufbau_und_Organisation_des_Ausbildungsbetriebes_par_4_Abs._7_Nr._2/05_Ziele_von_Betrieben_und_Unternehmen/05_Ziele_von_Betrieben_und_Unternehmen.pdf","05_Ziele von Betrieben und Unternehmen.pdf"
"Aufbau und Organisation des Ausbildungsbetriebes (§ 4 Abs. 7 Nr. 2)","06_Betriebliche und gesamtwirtschaftliche Arbeitsteilung","06_Betriebliche und gesamtwirtschaftliche Arbeitsteilung","https://ngpsgwwlnlliphfgtrya.supabase.co/storage/v1/object/public/content/enablers/Aufbau_und_Organisation_des_Ausbildungsbetriebes_par_4_Abs._7_Nr._2/06_Betriebliche_und_gesamtwirtschaftliche_Arbeitsteilung/06_Betriebliche_und_gesamtwirtschaftliche_Arbeitsteilung.pdf","06_Betriebliche und gesamtwirtschaftliche Arbeitsteilung.pdf"
"Aufbau und Organisation des Ausbildungsbetriebes (§ 4 Abs. 7 Nr. 2)","07_Ziele und Aufgaben von Arbeitgeber und Arbeitnehmerverbänden","07_Ziele und Aufgaben von Arbeitgeber und Arbeitnehmerverbänden","https://ngpsgwwlnlliphfgtrya.supabase.co/storage/v1/object/public/content/enablers/Aufbau_und_Organisation_des_Ausbildungsbetriebes_par_4_Abs._7_Nr._2/07_Ziele_und_Aufgaben_von_Arbeitgeber_und_Arbeitnehmerverbaenden/07_Ziele_und_Aufgaben_von_Arbeitgeber_und_Arbeitnehmerverbaenden.pdf","07_Ziele und Aufgaben von Arbeitgeber und Arbeitnehmerverbänden.pdf"
"Aufbau und Organisation des Ausbildungsbetriebes (§ 4 Abs. 7 Nr. 2)","08_Ziele und Aufgaben von Behörden und Verwaltungen","08_Ziele und Aufgaben von Behörden und Verwaltungen","https://ngpsgwwlnlliphfgtrya.supabase.co/storage/v1/object/public/content/enablers/Aufbau_und_Organisation_des_Ausbildungsbetriebes_par_4_Abs._7_Nr._2/08_Ziele_und_Aufgaben_von_Behoerden_und_Verwaltungen/08_Ziele_und_Aufgaben_von_Behoerden_und_Verwaltungen.pdf","08_Ziele und Aufgaben von Behörden und Verwaltungen.pdf"
"Aufbau und Organisation des Ausbildungsbetriebes (§ 4 Abs. 7 Nr. 2)","09_Grundsatz der vertrauensvollen Zusammenarbeit zwischen Arbeitgeber und Arbeitnehmervertretern","09_Grundsatz der vertrauensvollen Zusammenarbeit zwischen Arbei","https://ngpsgwwlnlliphfgtrya.supabase.co/storage/v1/object/public/content/enablers/Aufbau_und_Organisation_des_Ausbildungsbetriebes_par_4_Abs._7_Nr._2/09_Grundsatz_der_vertrauensvollen_Zusammenarbeit_zwischen_Arbeitgeber_und_Arbeitnehmervertretern/09_Grundsatz_der_vertrauensvollen_Zusammenarbeit_zwischen_Arbei.pdf","09_Grundsatz der vertrauensvollen Zusammenarbeit zwischen Arbei.pdf"
"Berufsbildung, Arbeits- und Tarifrecht (§ 4 Abs. 7 Nr. 1)","01_Rechte und Pflichten des Auszubildenden und des Ausbildenden","FR-732_sortiert","https://ngpsgwwlnlliphfgtrya.supabase.co/storage/v1/object/public/content/enablers/Berufsbildung_Arbeits-_und_Tarifrecht_par_4_Abs._7_Nr._1/01_Rechte_und_Pflichten_des_Auszubildenden_und_des_Ausbildenden/FR-732_sortiert.pdf","FR-732_sortiert.pdf"
"Berufsbildung, Arbeits- und Tarifrecht (§ 4 Abs. 7 Nr. 1)","02_Vorteile der Ausbildung im dualen System der Berufsausbildung","02_Vorteile der Ausbildung im dualen System der Berufsausbildung","https://ngpsgwwlnlliphfgtrya.supabase.co/storage/v1/object/public/content/enablers/Berufsbildung_Arbeits-_und_Tarifrecht_par_4_Abs._7_Nr._1/02_Vorteile_der_Ausbildung_im_dualen_System_der_Berufsausbildung/02_Vorteile_der_Ausbildung_im_dualen_System_der_Berufsausbildung.pdf","02_Vorteile der Ausbildung im dualen System der Berufsausbildung.pdf"
"Berufsbildung, Arbeits- und Tarifrecht (§ 4 Abs. 7 Nr. 1)","03_Aufgaben von Ausbildungsbetrieb, Berufsschule und Kammern im Rahmen der Berufsausbildung","03_Aufgaben von Ausbildungsbetrieb, Berufsschule und Kammern im Rahmen der Ber","https://ngpsgwwlnlliphfgtrya.supabase.co/storage/v1/object/public/content/enablers/Berufsbildung_Arbeits-_und_Tarifrecht_par_4_Abs._7_Nr._1/03_Aufgaben_von_Ausbildungsbetrieb_Berufsschule_und_Kammern_im_Rahmen_der_Berufsausbildung/03_Aufgaben_von_Ausbildungsbetrieb_Berufsschule_und_Kammern_im_Rahmen_der_Ber.pdf","03_Aufgaben von Ausbildungsbetrieb, Berufsschule und Kammern im Rahmen der Ber.pdf"
"Berufsbildung, Arbeits- und Tarifrecht (§ 4 Abs. 7 Nr. 1)","04_Ausbildungsrahmenplan, sachliche und zeitliche Gliederung","04_Ausbildungsrahmenplan, sachliche und zeitliche Gliederung","https://ngpsgwwlnlliphfgtrya.supabase.co/storage/v1/object/public/content/enablers/Berufsbildung_Arbeits-_und_Tarifrecht_par_4_Abs._7_Nr._1/04_Ausbildungsrahmenplan_sachliche_und_zeitliche_Gliederung/04_Ausbildungsrahmenplan_sachliche_und_zeitliche_Gliederung.pdf","04_Ausbildungsrahmenplan, sachliche und zeitliche Gliederung.pdf"
"Berufsbildung, Arbeits- und Tarifrecht (§ 4 Abs. 7 Nr. 1)","05_Grundsätze des Individual - und Kollektivarbeitsrechtes","05_Grundsätze des Individual - und Kollektivarbeitsrechtes","https://ngpsgwwlnlliphfgtrya.supabase.co/storage/v1/object/public/content/enablers/Berufsbildung_Arbeits-_und_Tarifrecht_par_4_Abs._7_Nr._1/05_Grundsaetze_des_Individual_-_und_Kollektivarbeitsrechtes/05_Grundsaetze_des_Individual_-_und_Kollektivarbeitsrechtes.pdf","05_Grundsätze des Individual - und Kollektivarbeitsrechtes.pdf"
"Berufsbildung, Arbeits- und Tarifrecht (§ 4 Abs. 7 Nr. 1)","06_Arbeitgeberorganisationen","06_Arbeitgeberorganisationen","https://ngpsgwwlnlliphfgtrya.supabase.co/storage/v1/object/public/content/enablers/Berufsbildung_Arbeits-_und_Tarifrecht_par_4_Abs._7_Nr._1/06_Arbeitgeberorganisationen/06_Arbeitgeberorganisationen.pdf","06_Arbeitgeberorganisationen.pdf"
